2025-11-25 10:29:19,882 | INFO    | aiogram.event | Update id=589781352 is handled. Duration 2474 ms by bot id=8500394417
2025-11-25 10:29:20,794 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:20,925 | INFO    | aiogram.event | Update id=589781353 is handled. Duration 130 ms by bot id=8500394417
2025-11-25 10:29:26,134 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:26,366 | INFO    | aiogram.event | Update id=589781354 is handled. Duration 231 ms by bot id=8500394417
2025-11-25 10:29:27,761 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='6' entities=None
2025-11-25 10:29:27,913 | INFO    | aiogram.event | Update id=589781355 is handled. Duration 152 ms by bot id=8500394417
2025-11-25 10:29:28,479 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='2' entities=None
2025-11-25 10:29:28,634 | INFO    | aiogram.event | Update id=589781356 is handled. Duration 155 ms by bot id=8500394417
2025-11-25 10:29:29,184 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='1' entities=None
2025-11-25 10:29:29,333 | INFO    | aiogram.event | Update id=589781357 is handled. Duration 149 ms by bot id=8500394417
2025-11-25 10:29:32,105 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:32,235 | INFO    | aiogram.event | Update id=589781358 is handled. Duration 129 ms by bot id=8500394417
2025-11-25 10:29:33,004 | DEBUG   | dnd_bot | msg from Doge_tm (478122255) chat=478122255 text='0' entities=None
2025-11-25 10:29:33,005 | INFO    | dnd_bot | Saving character for Doge_tm (478122255) race=дварф class=лучник attrs={'сила': 1, 'ловкость': 6, 'интеллект': 2, 'внимание': 1, 'скрытность': 0, 'реакция': 0}
2025-11-25 10:29:33,137 | INFO    | aiogram.event | Update id=589781359 is handled. Duration 133 ms by bot id=8500394417
